Search_Genus,Search_Species_Epithet,Search_Name,Accepted_Name,Systematic_Order,Family,Subfamily,Genus,Name,Species_Epithet,Author_Year,Author,Year,Full_Name,Aggregate,Synonym_Search_Name,Synonym_Source,Species_Search_Name,usageKey,scientificName,rank,order,matchType,phylum,kingdom,genus,class,confidence,synonym,status,family
Euchloe,simplonia,Euchloe simplonia,Euchloe simplonia,109,Pieridae,Pierinae,Euchloe,Euchloe simplonia,simplonia,"(Freyer, 1829)",Freyer,1829,"Euchloe simplonia (Freyer, 1829)",FALSE,FALSE,"",TRUE,1919330,"Euchloe simplonia (Freyer, 1829)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,97,FALSE,ACCEPTED,Pieridae
Pontia,simplonia,Pontia simplonia,Euchloe simplonia,109,Pieridae,Pierinae,Euchloe,Euchloe simplonia,simplonia,"(Freyer, 1829)",Freyer,1829,"Euchloe simplonia (Freyer, 1829)",FALSE,TRUE,"",TRUE,1920236,"Pontia Fabricius, 1807",GENUS,Lepidoptera,HIGHERRANK,Arthropoda,Animalia,Pontia,Insecta,92,FALSE,ACCEPTED,Pieridae
Euchloe,ausonia,Euchloe ausonia,Euchloe ausonia,110,Pieridae,Pierinae,Euchloe,Euchloe ausonia,ausonia,"(Hübner, 1804)",Hübner,1804,"Euchloe ausonia (Hübner, 1804)",FALSE,FALSE,"",TRUE,1919320,"Euchloe ausonia (Hubner, 1804)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Papilio,ausonia,Papilio ausonia,Euchloe ausonia,110,Pieridae,Pierinae,Euchloe,Euchloe ausonia,ausonia,"(Hübner, 1804)",Hübner,1804,"Euchloe ausonia (Hübner, 1804)",FALSE,TRUE,"",TRUE,4535281,"Papilio ausonia Hubner, 1804",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Euchloe,charlonia,Euchloe charlonia,Euchloe charlonia,111,Pieridae,Pierinae,Euchloe,Euchloe charlonia,charlonia,"(Donzel, 1842)",Donzel,1842,"Euchloe charlonia (Donzel, 1842)",FALSE,FALSE,"",TRUE,4535286,"Euchloe charlonia (Donzel, 1842)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Anthocharis,charlonia,Anthocharis charlonia,Euchloe charlonia,111,Pieridae,Pierinae,Euchloe,Euchloe charlonia,charlonia,"(Donzel, 1842)",Donzel,1842,"Euchloe charlonia (Donzel, 1842)",FALSE,TRUE,"",TRUE,4535287,"Anthocharis charlonia Donzel, 1842",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Euchloe,penia,Euchloe penia,Euchloe penia,112,Pieridae,Pierinae,Euchloe,Euchloe penia,penia,"(Freyer, 1851)",Freyer,1851,"Euchloe penia (Freyer, 1851)",FALSE,FALSE,"",TRUE,4535289,"Euchloe penia (Freyer, 1851)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Pontia,penia,Pontia penia,Euchloe penia,112,Pieridae,Pierinae,Euchloe,Euchloe penia,penia,"(Freyer, 1851)",Freyer,1851,"Euchloe penia (Freyer, 1851)",FALSE,TRUE,"",TRUE,8845845,"Pontia penia Freyer, 1851",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Euchloe,bazae,Euchloe bazae,Euchloe bazae,113,Pieridae,Pierinae,Euchloe,Euchloe bazae,bazae,"Fabiano, 1993",Fabiano,1993,"Euchloe bazae Fabiano, 1993",FALSE,FALSE,"",TRUE,4535288,"Euchloe bazae Fabiano, 1993",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Euchloe,bazae,Euchloe charlonia bazae,Euchloe bazae,113,Pieridae,Pierinae,Euchloe,Euchloe bazae,bazae,"Fabiano, 1993",Fabiano,1993,"Euchloe bazae Fabiano, 1993",FALSE,TRUE,"",FALSE,,,,,,,,,,,,,
Zegris,pyrothoe,Zegris pyrothoe,Zegris pyrothoe,114,Pieridae,Pierinae,Zegris,Zegris pyrothoe,pyrothoe,"(Eversmann, 1832)",Eversmann,1832,"Zegris pyrothoe (Eversmann, 1832)",FALSE,FALSE,"",TRUE,1919963,"Zegris pyrothoe (Eversmann, 1832)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zegris,Insecta,98,FALSE,ACCEPTED,Pieridae
Pontia,pyrothoe,Pontia pyrothoe,Zegris pyrothoe,114,Pieridae,Pierinae,Zegris,Zegris pyrothoe,pyrothoe,"(Eversmann, 1832)",Eversmann,1832,"Zegris pyrothoe (Eversmann, 1832)",FALSE,TRUE,"",TRUE,8758704,"Pontia pyrothoe Eversmann, 1832",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zegris,Insecta,98,TRUE,SYNONYM,Pieridae
Zegris,eupheme,Zegris eupheme,Zegris eupheme,115,Pieridae,Pierinae,Zegris,Zegris eupheme,eupheme,"(Esper, 1804)",Esper,1804,"Zegris eupheme (Esper, 1804)",FALSE,FALSE,"",TRUE,1919966,"Zegris eupheme (Esper, 1804)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zegris,Insecta,98,FALSE,ACCEPTED,Pieridae
Papilio,eupheme,Papilio eupheme,Zegris eupheme,115,Pieridae,Pierinae,Zegris,Zegris eupheme,eupheme,"(Esper, 1804)",Esper,1804,"Zegris eupheme (Esper, 1804)",FALSE,TRUE,"",TRUE,4535293,"Papilio eupheme Esper, 1804",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Zegris,Insecta,98,TRUE,SYNONYM,Pieridae
Anthocharis,euphenoides,Anthocharis euphenoides,Anthocharis euphenoides,116,Pieridae,Pierinae,Anthocharis,Anthocharis euphenoides,euphenoides,"Staudinger, 1869",Staudinger,1869,"Anthocharis euphenoides Staudinger, 1869",FALSE,FALSE,"",TRUE,1919698,"Anthocharis euphenoides Staudinger, 1869",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Anthocharis,Insecta,98,FALSE,ACCEPTED,Pieridae
Anthocharis,cardamines,Anthocharis cardamines,Anthocharis cardamines,117,Pieridae,Pierinae,Anthocharis,Anthocharis cardamines,cardamines,"(Linnaeus, 1758)",Linnaeus,1758,"Anthocharis cardamines (Linnaeus, 1758)",FALSE,FALSE,"",TRUE,1919712,"Anthocharis cardamines (Linnaeus, 1758)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Anthocharis,Insecta,98,FALSE,ACCEPTED,Pieridae
